"id";"size";"incl.prob";"staff";"turnover";"other.rev";"total.rev";"staff.costs";"total.costs";"profit";"vat"
"RET01";"sc0";"0.02";75;NA;NA;1130;NA;18915;20045;NA
"RET02";"sc3";"0.14";9;1607;NA;1607;131;1544;63;NA
"RET03";"sc3";"0.14";NA;6886;-33;6919;324;6493;426;NA
"RET04";"sc3";"0.14";NA;3861;13;3874;290;3600;274;NA
"RET05";"sc3";"0.14";NA;NA;37;5602;314;5530;72;NA
"RET06";"sc0";"0.02";1;25;NA;25;NA;22;3;NA
"RET07";"sc3";"0.14";5;NA;NA;1335;135;136;1;1346
"RET08";"sc1";"0.02";3;404;13;417;NA;342;75;NA
"RET09";"sc3";"0.14";6;2596;NA;2596;147;2486;110;NA
"RET10";"sc2";"0.05";5;NA;NA;NA;NA;NA;NA;NA
"RET11";"sc2";"0.05";5;645;NA;645;130;636;9;NA
"RET12";"sc2";"0.05";5;2872;NA;2872;182;2652;220;NA
"RET13";"sc3";"0.14";13;5678;12;5690;326;5656;34;NA
"RET14";"sc1";"0.02";NA;931397;NA;931397;36872;841489;89908;863
"RET15";"sc1";"0.02";3;80000;NA;NA;40000;NA;NA;813
"RET16";"sc0";"0.02";52;9067;622;9689;1125;9911;-222;964
"RET17";"sc3";"0.14";10;1500;20;1520;195;1384;136;733
"RET18";"sc1";"0.02";4;440;NA;440;16;379;60;296
"RET19";"sc2";"0.05";3;690;NA;690;19000;464507;225493;486
"RET20";"sc3";"0.14";8;1852;NA;1852;120;1812;40;1312
"RET21";"sc0";"0.02";2;359;9;368;NA;339;29;257
"RET22";"sc0";"0.02";3;839;NA;839;2;717;122;654
"RET23";"sc1";"0.02";2;471;NA;471;34;411;60;377
"RET24";"sc1";"0.02";4;933;2;935;31;814;121;811
"RET25";"sc2";"0.05";3;1665;NA;1665;70;186;1478;1472
"RET26";"sc3";"0.14";6;2318;NA;2318;184;390;86;2082
"RET27";"sc2";"0.05";2;1175;12;1187;114;NA;17;1058
"RET28";"sc3";"0.14";16;2946;7;2953;245;2870;83;2670
"RET29";"sc0";"0.02";1;492;NA;492;NA;470;22;449
"RET30";"sc2";"0.05";6;1831;1831;1831;53;1443;388;1695
"RET31";"sc3";"0.14";29;7271;30;7301;451;7242;59;6754
"RET32";"sc2";"0.05";8;971;NA;107;28;95;100;905
"RET33";"sc3";"0.14";13;4118;11;4129;57;3601;528;3841
"RET34";"sc3";"0.14";9;2803;NA;2803;106;2643;160;2668
"RET35";"sc3";"0.14";15;2876;33;2909;539;2627;282;2758
"RET36";"sc3";"0.14";14;2649;98350;2747;221302;2725410;22457;2548
"RET37";"sc2";"0.05";6;1024;4;206;64;170;37;995
"RET38";"sc2";"0.05";53;9842;NA;9842;837;10000;-160;9655
"RET39";"sc2";"0.05";7;2463;38;2501;87;2347;154;2441
"RET40";"sc3";"0.14";NA;4445;98;4543;369;4266;277;4412
"RET41";"sc3";"0.14";20;3284;11;3295;181;3168;127;3263
"RET42";"sc2";"0.05";2;814;NA;814;107;175;NA;810
"RET43";"sc1";"0.02";NA;1210;NA;1210;52;1124;86;1205
"RET44";"sc0";"0.02";1;343;NA;343;NA;NA;NA;343
"RET45";"sc2";"0.05";3;952;NA;952;79;NA;149;952
"RET46";"sc0";"0.02";1;41;NA;41;NA;32;9;41
"RET47";"sc3";"0.14";60;3633;NA;3633;257;3626;7;3634
"RET48";"sc3";"0.14";8;2906;NA;2906;144;453;53;2907
"RET49";"sc3";"0.14";10;2333;6;2339;193;2353;-14;2335
"RET50";"sc3";"0.14";12;2275;5;2280;222;2302;-22;2277
"RET51";"sc2";"0.05";7;1728;NA;1728;153;1681;47;1742
"RET52";"sc3";"0.14";24;6872;32;6904;485;6729;174;6959
"RET53";"sc3";"0.14";29;3571;76;3647;311;3554;93;3700
"RET54";"sc3";"0.14";11;1021;NA;1021;235;472;549;1067
"RET55";"sc0";"0.02";1;197;NA;197;NA;168;30;221
"RET56";"sc2";"0.05";7;917;NA;917;30;781;136;1030
"RET57";"sc2";"0.05";8;2000;NA;2000;NA;1700;NA;2271
"RET58";"sc3";"0.14";3;200;NA;200;49;177;222;251
"RET59";"sc2";"0.05";4;342;NA;342;30;299;43;1068
"RET60";"sc2";"0.05";6;1;NA;1411;179;1215;196;1389
