"id","staff","other.rev","turnover","total.rev"
"RET01",75,0,NA,1130
"RET02",9,0,1607,1607
"RET03",3.91745886198671,33,6886,6919
"RET04",2.19653044817466,13,3861,3874
"RET05",NA,37,NA,5602
"RET06",1,0,25,25
"RET07",5,0,NA,1335
"RET08",3,13,404,417
"RET09",6,0,2596,2596
"RET10",5,0,NA,NA
"RET11",5,0,645,645
"RET12",5,0,2872,2872
"RET13",13,12,5678,5690
"RET14",529.873574161754,0,931397,931397
"RET15",3,0,80000,NA
"RET16",52,622,9067,9689
"RET17",10,20,1500,1520
"RET18",4,0,440,440
"RET19",3,0,690,690
"RET20",8,0,1852,1852
"RET21",2,9,359,368
"RET22",3,0,839,839
"RET23",2,0,471,471
"RET24",4,2,933,935
"RET25",3,0,1665,1665
"RET26",6,0,2318,2318
"RET27",2,12,1175,1187
"RET28",16,7,2946,2953
"RET29",1,0,492,492
"RET30",6,1831,1831,1831
"RET31",29,30,7271,7301
"RET32",8,0,971,107
"RET33",13,11,4118,4129
"RET34",9,0,2803,2803
"RET35",15,33,2876,2909
"RET36",14,98350,2649,2747
"RET37",6,4,1024,206
"RET38",53,0,9842,9842
"RET39",7,38,2463,2501
"RET40",2.52876918988251,98,4445,4543
"RET41",20,11,3284,3295
"RET42",2,0,814,814
"RET43",0.688371365524822,0,1210,1210
"RET44",1,0,343,343
"RET45",3,0,952,952
"RET46",1,0,41,41
"RET47",60,0,3633,3633
"RET48",8,0,2906,2906
"RET49",10,6,2333,2339
"RET50",12,5,2275,2280
"RET51",7,0,1728,1728
"RET52",24,32,6872,6904
"RET53",29,76,3571,3647
"RET54",11,0,1021,1021
"RET55",1,0,197,197
"RET56",7,0,917,917
"RET57",8,0,2000,2000
"RET58",3,0,200,200
"RET59",4,0,342,342
"RET60",6,0,1,1411
